SITE,SOIL,Ece,EC,Cle,pHe,pH.1.5,OM,OC,Nt,P,P2O5,M,SP,M.SP
Maranjab Desert,Arid soil,13.7,3.16,3700,8,7.8,0.14,0.08,0.018,4.76,11.7,1.7,26.4,0.06
Maranjab Desert,Arid soil,13.7,3.16,3700,8,7.8,0.14,0.08,0.018,4.76,11.7,1.7,26.4,0.06
Maranjab Desert,Arid soil,13.7,3.16,3700,8,7.8,0.14,0.08,0.018,4.76,11.7,1.7,26.4,0.06
Maranjab Desert,Arid soil,13.7,3.16,3700,8,7.8,0.14,0.08,0.018,4.76,11.7,1.7,26.4,0.06
Maranjab Desert,Arid soil,13.7,3.16,3700,8,7.8,0.14,0.08,0.018,4.76,11.7,1.7,26.4,0.06
Maranjab Desert,Arid soil,13.7,3.16,3700,8,7.8,0.14,0.08,0.018,4.76,11.7,1.7,26.4,0.06
Maranjab Desert,Arid soil,13.7,3.16,3700,8,7.8,0.14,0.08,0.018,4.76,11.7,1.7,26.4,0.06
Maranjab Desert,Arid soil,13.7,3.16,3700,8,7.8,0.14,0.08,0.018,4.76,11.7,1.7,26.4,0.06
Maranjab Desert,Arid soil,13.7,3.16,3700,8,7.8,0.14,0.08,0.018,4.76,11.7,1.7,26.4,0.06
Maranjab Desert,Arid soil,13.7,3.16,3700,8,7.8,0.14,0.08,0.018,4.76,11.7,1.7,26.4,0.06
Maranjab Desert,Arid soil,13.7,3.16,3700,8,7.8,0.14,0.08,0.018,4.76,11.7,1.7,26.4,0.06
Maranjab Desert,Arid soil,13.7,3.16,3700,8,7.8,0.14,0.08,0.018,4.76,11.7,1.7,26.4,0.06
Maranjab Desert,Arid soil,13.7,3.16,3700,8,7.8,0.14,0.08,0.018,4.76,11.7,1.7,26.4,0.06
Maranjab Desert,Arid soil,13.7,3.16,3700,8,7.8,0.14,0.08,0.018,4.76,11.7,1.7,26.4,0.06
Maranjab Desert,Arid soil,13.7,3.16,3700,8,7.8,0.14,0.08,0.018,4.76,11.7,1.7,26.4,0.06
Maranjab Desert,Arid soil,13.7,3.16,3700,8,7.8,0.14,0.08,0.018,4.76,11.7,1.7,26.4,0.06
Maranjab Desert,Arid soil,13.7,3.16,3700,8,7.8,0.14,0.08,0.018,4.76,11.7,1.7,26.4,0.06
Maranjab Desert,Arid soil,13.7,3.16,3700,8,7.8,0.14,0.08,0.018,4.76,11.7,1.7,26.4,0.06
Maranjab Desert,Arid soil,13.7,3.16,3700,8,7.8,0.14,0.08,0.018,4.76,11.7,1.7,26.4,0.06
Maranjab Desert,Arid soil,13.7,3.16,3700,8,7.8,0.14,0.08,0.018,4.76,11.7,1.7,26.4,0.06
Maranjab Desert,Arid soil,13.7,3.16,3700,8,7.8,0.14,0.08,0.018,4.76,11.7,1.7,26.4,0.06
Maranjab Desert,Arid soil,13.7,3.16,3700,8,7.8,0.14,0.08,0.018,4.76,11.7,1.7,26.4,0.06
Maranjab Desert,Arid soil,13.7,3.16,3700,8,7.8,0.14,0.08,0.018,4.76,11.7,1.7,26.4,0.06
Maranjab Desert,Arid soil,13.7,3.16,3700,8,7.8,0.14,0.08,0.018,4.76,11.7,1.7,26.4,0.06
Maranjab Desert,Arid soil,13.7,3.16,3700,8,7.8,0.14,0.08,0.018,4.76,11.7,1.7,26.4,0.06
Maranjab Desert,Arid soil,13.7,3.16,3700,8,7.8,0.14,0.08,0.018,4.76,11.7,1.7,26.4,0.06
Maranjab Desert,Arid soil,13.7,3.16,3700,8,7.8,0.14,0.08,0.018,4.76,11.7,1.7,26.4,0.06
Maranjab Desert,Arid soil,13.7,3.16,3700,8,7.8,0.14,0.08,0.018,4.76,11.7,1.7,26.4,0.06
Maranjab Desert,Arid soil,13.7,3.16,3700,8,7.8,0.14,0.08,0.018,4.76,11.7,1.7,26.4,0.06
Maranjab Desert,Arid soil,13.7,3.16,3700,8,7.8,0.14,0.08,0.018,4.76,11.7,1.7,26.4,0.06
Maranjab Desert,Arid soil,13.7,3.16,3700,8,7.8,0.14,0.08,0.018,4.76,11.7,1.7,26.4,0.06
Maranjab Desert,Arid soil,13.7,3.16,3700,8,7.8,0.14,0.08,0.018,4.76,11.7,1.7,26.4,0.06
Maranjab Desert,Arid soil,13.7,3.16,3700,8,7.8,0.14,0.08,0.018,4.76,11.7,1.7,26.4,0.06
Maranjab Desert,Arid soil,13.7,3.16,3700,8,7.8,0.14,0.08,0.018,4.76,11.7,1.7,26.4,0.06
Maranjab Desert,Arid soil,13.7,3.16,3700,8,7.8,0.14,0.08,0.018,4.76,11.7,1.7,26.4,0.06
Maranjab Desert,Arid soil,13.7,3.16,3700,8,7.8,0.14,0.08,0.018,4.76,11.7,1.7,26.4,0.06
Maranjab Desert,Arid soil,13.7,3.16,3700,8,7.8,0.14,0.08,0.018,4.76,11.7,1.7,26.4,0.06
Maranjab Desert,Arid soil,13.7,3.16,3700,8,7.8,0.14,0.08,0.018,4.76,11.7,1.7,26.4,0.06
Maranjab Desert,Arid soil,13.7,3.16,3700,8,7.8,0.14,0.08,0.018,4.76,11.7,1.7,26.4,0.06
Maranjab Desert,Arid soil,13.7,3.16,3700,8,7.8,0.14,0.08,0.018,4.76,11.7,1.7,26.4,0.06
Maranjab Desert,Arid soil,13.7,3.16,3700,8,7.8,0.14,0.08,0.018,4.76,11.7,1.7,26.4,0.06
Maranjab Desert,Arid soil,13.7,3.16,3700,8,7.8,0.14,0.08,0.018,4.76,11.7,1.7,26.4,0.06
Maranjab Desert,Arid soil,13.7,3.16,3700,8,7.8,0.14,0.08,0.018,4.76,11.7,1.7,26.4,0.06
Maranjab Desert,Arid soil,13.7,3.16,3700,8,7.8,0.14,0.08,0.018,4.76,11.7,1.7,26.4,0.06
Maranjab Desert,Arid soil,13.7,3.16,3700,8,7.8,0.14,0.08,0.018,4.76,11.7,1.7,26.4,0.06
Maranjab Desert,Arid soil,13.7,3.16,3700,8,7.8,0.14,0.08,0.018,4.76,11.7,1.7,26.4,0.06
Maranjab Desert,Arid soil,13.7,3.16,3700,8,7.8,0.14,0.08,0.018,4.76,11.7,1.7,26.4,0.06
Maranjab Desert,Arid soil,13.7,3.16,3700,8,7.8,0.14,0.08,0.018,4.76,11.7,1.7,26.4,0.06
Maranjab Desert,Arid soil,13.7,3.16,3700,8,7.8,0.14,0.08,0.018,4.76,11.7,1.7,26.4,0.06
Maranjab Desert,Arid soil,13.7,3.16,3700,8,7.8,0.14,0.08,0.018,4.76,11.7,1.7,26.4,0.06
Maranjab Desert,Arid soil,13.7,3.16,3700,8,7.8,0.14,0.08,0.018,4.76,11.7,1.7,26.4,0.06
Maranjab Desert,Arid soil,13.7,3.16,3700,8,7.8,0.14,0.08,0.018,4.76,11.7,1.7,26.4,0.06
Maranjab Desert,Arid soil,13.7,3.16,3700,8,7.8,0.14,0.08,0.018,4.76,11.7,1.7,26.4,0.06
Maranjab Desert,Arid soil,13.7,3.16,3700,8,7.8,0.14,0.08,0.018,4.76,11.7,1.7,26.4,0.06
Maranjab Desert,Arid soil,13.7,3.16,3700,8,7.8,0.14,0.08,0.018,4.76,11.7,1.7,26.4,0.06
Maranjab Desert,Arid soil,13.7,3.16,3700,8,7.8,0.14,0.08,0.018,4.76,11.7,1.7,26.4,0.06
Maranjab Desert,Arid soil,13.7,3.16,3700,8,7.8,0.14,0.08,0.018,4.76,11.7,1.7,26.4,0.06
Maranjab Desert,Arid soil,13.7,3.16,3700,8,7.8,0.14,0.08,0.018,4.76,11.7,1.7,26.4,0.06
Maranjab Desert,Arid soil,13.7,3.16,3700,8,7.8,0.14,0.08,0.018,4.76,11.7,1.7,26.4,0.06
Maranjab Desert,Arid soil,13.7,3.16,3700,8,7.8,0.14,0.08,0.018,4.76,11.7,1.7,26.4,0.06
Maranjab Desert,Arid soil,13.7,3.16,3700,8,7.8,0.14,0.08,0.018,4.76,11.7,1.7,26.4,0.06
Maranjab Desert,Arid soil,13.7,3.16,3700,8,7.8,0.14,0.08,0.018,4.76,11.7,1.7,26.4,0.06
Maranjab Desert,Arid soil,13.7,3.16,3700,8,7.8,0.14,0.08,0.018,4.76,11.7,1.7,26.4,0.06
Maranjab Desert,Arid soil,13.7,3.16,3700,8,7.8,0.14,0.08,0.018,4.76,11.7,1.7,26.4,0.06
Maranjab Desert,Arid soil,13.7,3.16,3700,8,7.8,0.14,0.08,0.018,4.76,11.7,1.7,26.4,0.06
Maranjab Desert,Arid soil,13.7,3.16,3700,8,7.8,0.14,0.08,0.018,4.76,11.7,1.7,26.4,0.06
Maranjab Desert,Arid soil,13.7,3.16,3700,8,7.8,0.14,0.08,0.018,4.76,11.7,1.7,26.4,0.06
Maranjab Desert,Arid soil,13.7,3.16,3700,8,7.8,0.14,0.08,0.018,4.76,11.7,1.7,26.4,0.06
Maranjab Desert,Arid soil,13.7,3.16,3700,8,7.8,0.14,0.08,0.018,4.76,11.7,1.7,26.4,0.06
Maranjab Desert,Arid soil,13.7,3.16,3700,8,7.8,0.14,0.08,0.018,4.76,11.7,1.7,26.4,0.06
Maranjab Desert,Arid soil,13.7,3.16,3700,8,7.8,0.14,0.08,0.018,4.76,11.7,1.7,26.4,0.06
Maranjab Desert,Arid soil,13.7,3.16,3700,8,7.8,0.14,0.08,0.018,4.76,11.7,1.7,26.4,0.06
Maranjab Desert,Arid soil,13.7,3.16,3700,8,7.8,0.14,0.08,0.018,4.76,11.7,1.7,26.4,0.06
Maranjab Desert,Arid soil,13.7,3.16,3700,8,7.8,0.14,0.08,0.018,4.76,11.7,1.7,26.4,0.06
Maranjab Desert,Arid soil,13.7,3.16,3700,8,7.8,0.14,0.08,0.018,4.76,11.7,1.7,26.4,0.06
Maranjab Desert,Arid soil,13.7,3.16,3700,8,7.8,0.14,0.08,0.018,4.76,11.7,1.7,26.4,0.06
Maranjab Desert,Arid soil,13.7,3.16,3700,8,7.8,0.14,0.08,0.018,4.76,11.7,1.7,26.4,0.06
Maranjab Desert,Arid soil,13.7,3.16,3700,8,7.8,0.14,0.08,0.018,4.76,11.7,1.7,26.4,0.06
Maranjab Desert,Arid soil,13.7,3.16,3700,8,7.8,0.14,0.08,0.018,4.76,11.7,1.7,26.4,0.06
Maranjab Desert,Arid soil,13.7,3.16,3700,8,7.8,0.14,0.08,0.018,4.76,11.7,1.7,26.4,0.06
Maranjab Desert,Arid soil,13.7,3.16,3700,8,7.8,0.14,0.08,0.018,4.76,11.7,1.7,26.4,0.06
Maranjab Desert,Arid soil,13.7,3.16,3700,8,7.8,0.14,0.08,0.018,4.76,11.7,1.7,26.4,0.06
Maranjab Desert,Arid soil,13.7,3.16,3700,8,7.8,0.14,0.08,0.018,4.76,11.7,1.7,26.4,0.06
Maranjab Desert,Arid soil,13.7,3.16,3700,8,7.8,0.14,0.08,0.018,4.76,11.7,1.7,26.4,0.06
Maranjab Desert,Arid soil,13.7,3.16,3700,8,7.8,0.14,0.08,0.018,4.76,11.7,1.7,26.4,0.06
Maranjab Desert,Arid soil,13.7,3.16,3700,8,7.8,0.14,0.08,0.018,4.76,11.7,1.7,26.4,0.06
Maranjab Desert,Arid soil,13.7,3.16,3700,8,7.8,0.14,0.08,0.018,4.76,11.7,1.7,26.4,0.06
Maranjab Desert,Arid soil,13.7,3.16,3700,8,7.8,0.14,0.08,0.018,4.76,11.7,1.7,26.4,0.06
Maranjab Desert,Arid soil,13.7,3.16,3700,8,7.8,0.14,0.08,0.018,4.76,11.7,1.7,26.4,0.06
Maranjab Desert,Arid soil,13.7,3.16,3700,8,7.8,0.14,0.08,0.018,4.76,11.7,1.7,26.4,0.06
Maranjab Desert,Arid soil,13.7,3.16,3700,8,7.8,0.14,0.08,0.018,4.76,11.7,1.7,26.4,0.06
Maranjab Desert,Arid soil,13.7,3.16,3700,8,7.8,0.14,0.08,0.018,4.76,11.7,1.7,26.4,0.06
Maranjab Desert,Arid soil,13.7,3.16,3700,8,7.8,0.14,0.08,0.018,4.76,11.7,1.7,26.4,0.06
Maranjab Desert,Arid soil,13.7,3.16,3700,8,7.8,0.14,0.08,0.018,4.76,11.7,1.7,26.4,0.06
Maranjab Desert,Arid soil,13.7,3.16,3700,8,7.8,0.14,0.08,0.018,4.76,11.7,1.7,26.4,0.06
Maranjab Desert,Arid soil,13.7,3.16,3700,8,7.8,0.14,0.08,0.018,4.76,11.7,1.7,26.4,0.06
Maranjab Desert,Arid soil,13.7,3.16,3700,8,7.8,0.14,0.08,0.018,4.76,11.7,1.7,26.4,0.06
Maranjab Desert,Arid soil,13.7,3.16,3700,8,7.8,0.14,0.08,0.018,4.76,11.7,1.7,26.4,0.06
Maranjab Desert,Arid soil,13.7,3.16,3700,8,7.8,0.14,0.08,0.018,4.76,11.7,1.7,26.4,0.06
Maranjab Desert,Arid soil,13.7,3.16,3700,8,7.8,0.14,0.08,0.018,4.76,11.7,1.7,26.4,0.06
Maranjab Desert,Arid soil,13.7,3.16,3700,8,7.8,0.14,0.08,0.018,4.76,11.7,1.7,26.4,0.06
Maranjab Desert,Arid soil,13.7,3.16,3700,8,7.8,0.14,0.08,0.018,4.76,11.7,1.7,26.4,0.06
Maranjab Desert,Arid soil,13.7,3.16,3700,8,7.8,0.14,0.08,0.018,4.76,11.7,1.7,26.4,0.06
Maranjab Desert,Arid soil,13.7,3.16,3700,8,7.8,0.14,0.08,0.018,4.76,11.7,1.7,26.4,0.06
Maranjab Desert,Arid soil,13.7,3.16,3700,8,7.8,0.14,0.08,0.018,4.76,11.7,1.7,26.4,0.06
Maranjab Desert,Arid soil,13.7,3.16,3700,8,7.8,0.14,0.08,0.018,4.76,11.7,1.7,26.4,0.06
Maranjab Desert,Arid soil,13.7,3.16,3700,8,7.8,0.14,0.08,0.018,4.76,11.7,1.7,26.4,0.06
Maranjab Desert,Arid soil,13.7,3.16,3700,8,7.8,0.14,0.08,0.018,4.76,11.7,1.7,26.4,0.06
Maranjab Desert,Arid soil,13.7,3.16,3700,8,7.8,0.14,0.08,0.018,4.76,11.7,1.7,26.4,0.06
Maranjab Desert,Arid soil,13.7,3.16,3700,8,7.8,0.14,0.08,0.018,4.76,11.7,1.7,26.4,0.06
Maranjab Desert,Arid soil,13.7,3.16,3700,8,7.8,0.14,0.08,0.018,4.76,11.7,1.7,26.4,0.06
Maranjab Desert,Arid soil,13.7,3.16,3700,8,7.8,0.14,0.08,0.018,4.76,11.7,1.7,26.4,0.06
Maranjab Desert,Arid soil,13.7,3.16,3700,8,7.8,0.14,0.08,0.018,4.76,11.7,1.7,26.4,0.06
Maranjab Desert,Arid soil,13.7,3.16,3700,8,7.8,0.14,0.08,0.018,4.76,11.7,1.7,26.4,0.06
Maranjab Desert,Arid soil,13.7,3.16,3700,8,7.8,0.14,0.08,0.018,4.76,11.7,1.7,26.4,0.06
Maranjab Desert,Arid soil,13.7,3.16,3700,8,7.8,0.14,0.08,0.018,4.76,11.7,1.7,26.4,0.06
Maranjab Desert,Arid soil,13.7,3.16,3700,8,7.8,0.14,0.08,0.018,4.76,11.7,1.7,26.4,0.06
Maranjab Desert,Arid soil,13.7,3.16,3700,8,7.8,0.14,0.08,0.018,4.76,11.7,1.7,26.4,0.06
Maranjab Desert,Arid soil,13.7,3.16,3700,8,7.8,0.14,0.08,0.018,4.76,11.7,1.7,26.4,0.06
Maranjab Desert,Arid soil,13.7,3.16,3700,8,7.8,0.14,0.08,0.018,4.76,11.7,1.7,26.4,0.06
Maranjab Desert,Arid soil,13.7,3.16,3700,8,7.8,0.14,0.08,0.018,4.76,11.7,1.7,26.4,0.06
Maranjab Desert,Arid soil,13.7,3.16,3700,8,7.8,0.14,0.08,0.018,4.76,11.7,1.7,26.4,0.06
Maranjab Desert,Arid soil,13.7,3.16,3700,8,7.8,0.14,0.08,0.018,4.76,11.7,1.7,26.4,0.06
Maranjab Desert,Arid soil,13.7,3.16,3700,8,7.8,0.14,0.08,0.018,4.76,11.7,1.7,26.4,0.06
Maranjab Desert,Arid soil,13.7,3.16,3700,8,7.8,0.14,0.08,0.018,4.76,11.7,1.7,26.4,0.06
Maranjab Desert,Arid soil,13.7,3.16,3700,8,7.8,0.14,0.08,0.018,4.76,11.7,1.7,26.4,0.06
Maranjab Desert,Arid soil,13.7,3.16,3700,8,7.8,0.14,0.08,0.018,4.76,11.7,1.7,26.4,0.06
Hoze Soltan Lake,Saline Soil,92.1,9.97,4850,7.5,7.6,0.9,0.52,0.063,10.2,23.7,3,28.3,0.11
Hoze Soltan Lake,Saline Soil,92.1,9.97,4850,7.5,7.6,0.9,0.52,0.063,10.2,23.7,3,28.3,0.11
Hoze Soltan Lake,Saline Soil,92.1,9.97,4850,7.5,7.6,0.9,0.52,0.063,10.2,23.7,3,28.3,0.11
Hoze Soltan Lake,Saline Soil,92.1,9.97,4850,7.5,7.6,0.9,0.52,0.063,10.2,23.7,3,28.3,0.11
Hoze Soltan Lake,Saline Soil,92.1,9.97,4850,7.5,7.6,0.9,0.52,0.063,10.2,23.7,3,28.3,0.11
Hoze Soltan Lake,Saline Soil,92.1,9.97,4850,7.5,7.6,0.9,0.52,0.063,10.2,23.7,3,28.3,0.11
Hoze Soltan Lake,Saline Soil,92.1,9.97,4850,7.5,7.6,0.9,0.52,0.063,10.2,23.7,3,28.3,0.11
Hoze Soltan Lake,Saline Soil,92.1,9.97,4850,7.5,7.6,0.9,0.52,0.063,10.2,23.7,3,28.3,0.11
Hoze Soltan Lake,Saline Soil,92.1,9.97,4850,7.5,7.6,0.9,0.52,0.063,10.2,23.7,3,28.3,0.11
Hoze Soltan Lake,Saline Soil,92.1,9.97,4850,7.5,7.6,0.9,0.52,0.063,10.2,23.7,3,28.3,0.11
Hoze Soltan Lake,Saline Soil,92.1,9.97,4850,7.5,7.6,0.9,0.52,0.063,10.2,23.7,3,28.3,0.11
Hoze Soltan Lake,Saline Soil,92.1,9.97,4850,7.5,7.6,0.9,0.52,0.063,10.2,23.7,3,28.3,0.11
Hoze Soltan Lake,Saline Soil,92.1,9.97,4850,7.5,7.6,0.9,0.52,0.063,10.2,23.7,3,28.3,0.11
Hoze Soltan Lake,Saline Soil,92.1,9.97,4850,7.5,7.6,0.9,0.52,0.063,10.2,23.7,3,28.3,0.11
Hoze Soltan Lake,Saline Soil,92.1,9.97,4850,7.5,7.6,0.9,0.52,0.063,10.2,23.7,3,28.3,0.11
Hoze Soltan Lake,Saline Soil,92.1,9.97,4850,7.5,7.6,0.9,0.52,0.063,10.2,23.7,3,28.3,0.11
Hoze Soltan Lake,Saline Soil,92.1,9.97,4850,7.5,7.6,0.9,0.52,0.063,10.2,23.7,3,28.3,0.11
Hoze Soltan Lake,Saline Soil,92.1,9.97,4850,7.5,7.6,0.9,0.52,0.063,10.2,23.7,3,28.3,0.11
Hoze Soltan Lake,Saline Soil,92.1,9.97,4850,7.5,7.6,0.9,0.52,0.063,10.2,23.7,3,28.3,0.11
Hoze Soltan Lake,Saline Soil,92.1,9.97,4850,7.5,7.6,0.9,0.52,0.063,10.2,23.7,3,28.3,0.11
Hoze Soltan Lake,Saline Soil,92.1,9.97,4850,7.5,7.6,0.9,0.52,0.063,10.2,23.7,3,28.3,0.11
Hoze Soltan Lake,Saline Soil,92.1,9.97,4850,7.5,7.6,0.9,0.52,0.063,10.2,23.7,3,28.3,0.11
Hoze Soltan Lake,Saline Soil,92.1,9.97,4850,7.5,7.6,0.9,0.52,0.063,10.2,23.7,3,28.3,0.11
Hoze Soltan Lake,Saline Soil,92.1,9.97,4850,7.5,7.6,0.9,0.52,0.063,10.2,23.7,3,28.3,0.11
Hoze Soltan Lake,Saline Soil,92.1,9.97,4850,7.5,7.6,0.9,0.52,0.063,10.2,23.7,3,28.3,0.11
Hoze Soltan Lake,Saline Soil,92.1,9.97,4850,7.5,7.6,0.9,0.52,0.063,10.2,23.7,3,28.3,0.11
Hoze Soltan Lake,Saline Soil,92.1,9.97,4850,7.5,7.6,0.9,0.52,0.063,10.2,23.7,3,28.3,0.11
Hoze Soltan Lake,Saline Soil,92.1,9.97,4850,7.5,7.6,0.9,0.52,0.063,10.2,23.7,3,28.3,0.11
Hoze Soltan Lake,Saline Soil,92.1,9.97,4850,7.5,7.6,0.9,0.52,0.063,10.2,23.7,3,28.3,0.11
Hoze Soltan Lake,Saline Soil,92.1,9.97,4850,7.5,7.6,0.9,0.52,0.063,10.2,23.7,3,28.3,0.11
Hoze Soltan Lake,Saline Soil,92.1,9.97,4850,7.5,7.6,0.9,0.52,0.063,10.2,23.7,3,28.3,0.11
Hoze Soltan Lake,Saline Soil,92.1,9.97,4850,7.5,7.6,0.9,0.52,0.063,10.2,23.7,3,28.3,0.11
Hoze Soltan Lake,Saline Soil,92.1,9.97,4850,7.5,7.6,0.9,0.52,0.063,10.2,23.7,3,28.3,0.11
Hoze Soltan Lake,Saline Soil,92.1,9.97,4850,7.5,7.6,0.9,0.52,0.063,10.2,23.7,3,28.3,0.11
Hoze Soltan Lake,Saline Soil,92.1,9.97,4850,7.5,7.6,0.9,0.52,0.063,10.2,23.7,3,28.3,0.11
Hoze Soltan Lake,Saline Soil,92.1,9.97,4850,7.5,7.6,0.9,0.52,0.063,10.2,23.7,3,28.3,0.11
Hoze Soltan Lake,Saline Soil,92.1,9.97,4850,7.5,7.6,0.9,0.52,0.063,10.2,23.7,3,28.3,0.11
Hoze Soltan Lake,Saline Soil,92.1,9.97,4850,7.5,7.6,0.9,0.52,0.063,10.2,23.7,3,28.3,0.11
Hoze Soltan Lake,Saline Soil,92.1,9.97,4850,7.5,7.6,0.9,0.52,0.063,10.2,23.7,3,28.3,0.11
Hoze Soltan Lake,Saline Soil,92.1,9.97,4850,7.5,7.6,0.9,0.52,0.063,10.2,23.7,3,28.3,0.11
Hoze Soltan Lake,Saline Soil,92.1,9.97,4850,7.5,7.6,0.9,0.52,0.063,10.2,23.7,3,28.3,0.11
Hoze Soltan Lake,Saline Soil,92.1,9.97,4850,7.5,7.6,0.9,0.52,0.063,10.2,23.7,3,28.3,0.11
Hoze Soltan Lake,Saline Soil,92.1,9.97,4850,7.5,7.6,0.9,0.52,0.063,10.2,23.7,3,28.3,0.11
Hoze Soltan Lake,Saline Soil,92.1,9.97,4850,7.5,7.6,0.9,0.52,0.063,10.2,23.7,3,28.3,0.11
Hoze Soltan Lake,Saline Soil,92.1,9.97,4850,7.5,7.6,0.9,0.52,0.063,10.2,23.7,3,28.3,0.11
Hoze Soltan Lake,Saline Soil,92.1,9.97,4850,7.5,7.6,0.9,0.52,0.063,10.2,23.7,3,28.3,0.11
Hoze Soltan Lake,Saline Soil,92.1,9.97,4850,7.5,7.6,0.9,0.52,0.063,10.2,23.7,3,28.3,0.11
Hoze Soltan Lake,Saline Soil,92.1,9.97,4850,7.5,7.6,0.9,0.52,0.063,10.2,23.7,3,28.3,0.11
Hoze Soltan Lake,Saline Soil,92.1,9.97,4850,7.5,7.6,0.9,0.52,0.063,10.2,23.7,3,28.3,0.11
Hoze Soltan Lake,Saline Soil,92.1,9.97,4850,7.5,7.6,0.9,0.52,0.063,10.2,23.7,3,28.3,0.11
Hoze Soltan Lake,Saline Soil,92.1,9.97,4850,7.5,7.6,0.9,0.52,0.063,10.2,23.7,3,28.3,0.11
Hoze Soltan Lake,Saline Soil,92.1,9.97,4850,7.5,7.6,0.9,0.52,0.063,10.2,23.7,3,28.3,0.11
Hoze Soltan Lake,Saline Soil,92.1,9.97,4850,7.5,7.6,0.9,0.52,0.063,10.2,23.7,3,28.3,0.11
Hoze Soltan Lake,Saline Soil,92.1,9.97,4850,7.5,7.6,0.9,0.52,0.063,10.2,23.7,3,28.3,0.11
Hoze Soltan Lake,Saline Soil,92.1,9.97,4850,7.5,7.6,0.9,0.52,0.063,10.2,23.7,3,28.3,0.11
Hoze Soltan Lake,Saline Soil,92.1,9.97,4850,7.5,7.6,0.9,0.52,0.063,10.2,23.7,3,28.3,0.11
Hoze Soltan Lake,Saline Soil,92.1,9.97,4850,7.5,7.6,0.9,0.52,0.063,10.2,23.7,3,28.3,0.11
Hoze Soltan Lake,Saline Soil,92.1,9.97,4850,7.5,7.6,0.9,0.52,0.063,10.2,23.7,3,28.3,0.11
Hoze Soltan Lake,Saline Soil,92.1,9.97,4850,7.5,7.6,0.9,0.52,0.063,10.2,23.7,3,28.3,0.11
Hoze Soltan Lake,Saline Soil,92.1,9.97,4850,7.5,7.6,0.9,0.52,0.063,10.2,23.7,3,28.3,0.11
Hoze Soltan Lake,Saline Soil,92.1,9.97,4850,7.5,7.6,0.9,0.52,0.063,10.2,23.7,3,28.3,0.11
Hoze Soltan Lake,Saline Soil,92.1,9.97,4850,7.5,7.6,0.9,0.52,0.063,10.2,23.7,3,28.3,0.11
Hoze Soltan Lake,Saline Soil,92.1,9.97,4850,7.5,7.6,0.9,0.52,0.063,10.2,23.7,3,28.3,0.11
Hoze Soltan Lake,Saline Soil,92.1,9.97,4850,7.5,7.6,0.9,0.52,0.063,10.2,23.7,3,28.3,0.11
Hoze Soltan Lake,Saline Soil,92.1,9.97,4850,7.5,7.6,0.9,0.52,0.063,10.2,23.7,3,28.3,0.11
Hoze Soltan Lake,Saline Soil,92.1,9.97,4850,7.5,7.6,0.9,0.52,0.063,10.2,23.7,3,28.3,0.11
Hoze Soltan Lake,Saline Soil,92.1,9.97,4850,7.5,7.6,0.9,0.52,0.063,10.2,23.7,3,28.3,0.11
Hoze Soltan Lake,Saline Soil,92.1,9.97,4850,7.5,7.6,0.9,0.52,0.063,10.2,23.7,3,28.3,0.11
Hoze Soltan Lake,Saline Soil,92.1,9.97,4850,7.5,7.6,0.9,0.52,0.063,10.2,23.7,3,28.3,0.11
Hoze Soltan Lake,Saline Soil,92.1,9.97,4850,7.5,7.6,0.9,0.52,0.063,10.2,23.7,3,28.3,0.11
Hoze Soltan Lake,Saline Soil,92.1,9.97,4850,7.5,7.6,0.9,0.52,0.063,10.2,23.7,3,28.3,0.11
Hoze Soltan Lake,Saline Soil,92.1,9.97,4850,7.5,7.6,0.9,0.52,0.063,10.2,23.7,3,28.3,0.11
Hoze Soltan Lake,Saline Soil,92.1,9.97,4850,7.5,7.6,0.9,0.52,0.063,10.2,23.7,3,28.3,0.11
Hoze Soltan Lake,Saline Soil,92.1,9.97,4850,7.5,7.6,0.9,0.52,0.063,10.2,23.7,3,28.3,0.11
Hoze Soltan Lake,Saline Soil,92.1,9.97,4850,7.5,7.6,0.9,0.52,0.063,10.2,23.7,3,28.3,0.11
Hoze Soltan Lake,Saline Soil,92.1,9.97,4850,7.5,7.6,0.9,0.52,0.063,10.2,23.7,3,28.3,0.11
Hoze Soltan Lake,Saline Soil,92.1,9.97,4850,7.5,7.6,0.9,0.52,0.063,10.2,23.7,3,28.3,0.11
Hoze Soltan Lake,Saline Soil,92.1,9.97,4850,7.5,7.6,0.9,0.52,0.063,10.2,23.7,3,28.3,0.11
Hoze Soltan Lake,Saline Soil,92.1,9.97,4850,7.5,7.6,0.9,0.52,0.063,10.2,23.7,3,28.3,0.11
Hoze Soltan Lake,Saline Soil,92.1,9.97,4850,7.5,7.6,0.9,0.52,0.063,10.2,23.7,3,28.3,0.11
Hoze Soltan Lake,Saline Soil,92.1,9.97,4850,7.5,7.6,0.9,0.52,0.063,10.2,23.7,3,28.3,0.11
Hoze Soltan Lake,Saline Soil,92.1,9.97,4850,7.5,7.6,0.9,0.52,0.063,10.2,23.7,3,28.3,0.11
Hoze Soltan Lake,Saline Soil,92.1,9.97,4850,7.5,7.6,0.9,0.52,0.063,10.2,23.7,3,28.3,0.11
Hoze Soltan Lake,Saline Soil,92.1,9.97,4850,7.5,7.6,0.9,0.52,0.063,10.2,23.7,3,28.3,0.11
Hoze Soltan Lake,Saline Soil,92.1,9.97,4850,7.5,7.6,0.9,0.52,0.063,10.2,23.7,3,28.3,0.11
