Host,Frequency,OTU
S. rosmarinus,225,LREwh64..Neocamarosporium.chichastianum
S. rosmarinus,0,SIE.sh1.Briansuttonomyces.eucalypti
S. rosmarinus,0,RAE.sh12.Acrocalymma.vagum
S. rosmarinus,0,PSE.wh40.Dimorphosporicola.tragani
S. rosmarinus,0,PSE.we4..Chaetomium.globosum
S. rosmarinus,0,LAE.se5.Sordaria.humana
S. rosmarinus,0,HAE.se5.Camarosporomyces.flavigenus
S. rosmarinus,0,HAE.we5.Coniolariella.sp.
S. rosmarinus,0,HAE.wh26.Preussia.sp.
S. rosmarinus,0,HAE.wh10.Raffaelea.montetyi
S. rosmarinus,0,HAE.wh65.Coniophora.marmorata
S. rosmarinus,434,SRE.wh16.Paracamarosporium.hawaiiense
S. rosmarinus,348,SRE.we6.Fusariella.sinensis
S. rosmarinus,1130,other
T. hispida,113,TPEsh28.Humicola.fuscoatra
T. hispida,0,PFE.sh7..Rosellinia.limonispora
T. hispida,0,LREwh64..Neocamarosporium.chichastianum
T. hispida,0,SIE.sh1.Briansuttonomyces.eucalypti
T. hispida,0,RAE.sh12.Acrocalymma.vagum
T. hispida,0,PSE.wh40.Dimorphosporicola.tragani
T. hispida,0,PSE.we4..Chaetomium.globosum
T. hispida,0,LAE.se5.Sordaria.humana
T. hispida,0,HAE.se5.Camarosporomyces.flavigenus
T. hispida,0,HAE.we5.Coniolariella.sp.
T. hispida,0,HAE.wh26.Preussia.sp.
T. hispida,0,HAE.wh10.Raffaelea.montetyi
T. hispida,0,HAE.wh65.Coniophora.marmorata
T. hispida,0,SRE.wh16.Paracamarosporium.hawaiiense
T. hispida,0,SRE.we6.Fusariella.sinensis
T. hispida,338,other
