Sample ID ,Eurotiales,Diaporthales,Ophiostomatales,Boletales ,Amphisphaeriales,Saccharomycetales,Hypocreales,Pleosporales,Xylariales,Sordariales,Unknown
MSHM112,0,0,0,0,0,0,0,0,0,0,0
MSHM113,0,0,0,0,0,0,0,0,0,0,0
MSHM114,0,0,0,0,0,0,0,0,0,0,0
MSHM115,0,0,0,0,0,0,0,0,0,0,0
MSHM116,0,0,0,0,0,0,0,0,0,0,0
MSHM117,0,0,0,0,0,0,0,0,0,0,0
MSHM118,0,0,0,0,0,0,0,0,0,0,0
MSHM119,0,0,0,0,0,0,0,0,0,0,0
MSHM120,0,0,0,0,0,0,0,0,0,0,0
MSHM121,0,0,0,0,0,0,0,0,0,0,0
MSHM122,0,0,0,0,0,0,0,0,0,0,0
MSHM123,0,0,0,0,0,0,0,0,0,0,0
MSHM124,0,0,0,0,0,0,0,0,0,0,0
MSHM125,0,0,0,0,0,0,0,0,0,0,0
MSHM126,0,0,0,0,0,0,0,0,0,0,0
MSHM127,0,0,0,0,0,0,0,0,0,0,0
MSHM128,0,0,0,0,0,0,0,0,0,0,0
MSHM129,0,0,0,0,0,0,0,0,0,0,0
MSHM130,0,0,0,0,0,0,0,0,0,0,0
MSHM131,0,0,0,0,0,0,0,0,0,0,0
MSHM132,0,0,0,0,0,0,0,0,0,0,0
MSHM133,0,0,0,0,0,0,0,0,0,0,0
MSHM134,0,0,0,0,0,0,0,0,0,0,0
MSHM135,0,0,0,0,0,0,0,0,0,0,0
MSHM136,0,0,0,0,0,0,0,0,0,0,0
MSHM137,0,0,0,0,0,0,0,0,0,0,0
MSHM138,0,0,0,0,0,0,0,0,0,0,0
MSHM139,0,0,0,0,0,0,0,0,0,0,0
MSHM140,0,0,0,0,0,0,0,0,0,0,0
MSHM141,0,0,0,0,0,0,0,0,0,0,0
MSHM142,0,0,0,0,0,0,0,0,0,0,0
MSHM143,0,0,0,0,0,0,0,0,0,0,0
