,SITE,SOIL,Ece,EC,Cle,pHe,pH 1:5,OM,OC,Nt,P,P2O5,M,SP,M:SP
MSHM73,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM74,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM75,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM76,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM77,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM78,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM79,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM80,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM81,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM82,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM83,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM84,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM85,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM86,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM87,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM88,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM89,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM90,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM91,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM92,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM93,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM94,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM95,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM96,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM97,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM98,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM99,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM100,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM101,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM102,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM103,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM104,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM105,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM106,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM107,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM108,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM109,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM110,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM111,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM112,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM113,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM114,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM115,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM116,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM117,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM118,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM119,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM120,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM121,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM122,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM123,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM124,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM125,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM126,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM127,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM128,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM129,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM130,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM131,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM132,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM133,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM134,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM135,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM136,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM137,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM138,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM139,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM140,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM141,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM142,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM143,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM144,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM145,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM146,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM147,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM148,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM149,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM150,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM151,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM152,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM153,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM154,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM155,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM156,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM157,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM158,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM159,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM160,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM161,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM162,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM163,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM164,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM165,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM166,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM167,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM168,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM169,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM170,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM171,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM172,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM173,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM174,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM175,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM176,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM177,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM178,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM179,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM180,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM181,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM182,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM183,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM184,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM185,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM186,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM187,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM188,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM189,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM190,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM191,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM192,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM193,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM194,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM195,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM196,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM197,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM198,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM199,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
