R,Fungi,Pathogen,Growth
A1,N. chichastianum,P. graminea,23
A2,N. chichastianum,P. graminea,21
A3,N. chichastianum,P. graminea,21
A4,Control,P. graminea,45
A5,Control,P. graminea,45
A6,Control,P. graminea,45
,,,
